roll_number,name,Approval_status,Credit_status,email,phone
220103120,Shafira Bradford,Approved,Credit,donec.dignissim.magna@aol.net,488-2123
240104006,Amela Russo,Approved,Credit,arcu@icloud.edu,418-8416
240104048,Odysseus Hines,Approved,Credit,sit.amet@icloud.net,184-5970
240104066,Ivor Strong,Approved,Credit,condimentum.eget@protonmail.edu,960-7829
240104068,Iliana Pitts,Approved,Credit,commodo@aol.net,309-9146
240108054,Lars Potter,Approved,Credit,nibh.sit@hotmail.com,520-7860
240121010,Austin Cabrera,Approved,Credit,non.magna.nam@icloud.com,202-3294
224156011,Mariko Alexander,Approved,Credit,proin.eget@google.couk,222-8541
224156016,Dustin Sherman,Approved,Credit,lorem.ipsum.dolor@icloud.net,449-2086
224159010,Darius Blevins,Approved,Credit,egestas.aliquam@protonmail.com,352-3553
224159015,Galena Santos,Approved,Credit,vulputate.lacus@icloud.org,578-5948
224159020,Iona Schroeder,Approved,Credit,nonummy@protonmail.edu,746-8796
270101001,Sawyer Holland,Approved,Credit,ut.nisi.a@outlook.ca,821-1234
270101002,Harrison Rowland,Approved,Credit,ultricies@icloud.ca,277-3832
270101003,Nita Welch,Approved,Credit,est.mauris@aol.net,204-8551
270101004,Mary Harvey,Approved,Credit,sed.pharetra@outlook.net,441-1467
270101005,Jacqueline Morgan,Approved,Credit,at.velit@aol.org,733-2137
270101006,Charlotte Giles,Approved,Credit,elit@yahoo.org,464-3805
270101007,Ishmael Frank,Approved,Credit,lobortis.tellus@google.net,340-6183
270101008,Nicholas Romero,Approved,Credit,nisl.maecenas@google.edu,648-2616
270101009,Lucian Fields,Approved,Credit,pede.nunc@yahoo.org,346-6107
270101010,Nathan Maxwell,Approved,Credit,ultrices.vivamus@protonmail.com,129-4789
270101012,Lucas Hogan,Approved,Credit,enim@hotmail.couk,658-3448
270101013,Zenaida Fleming,Approved,Credit,etiam@yahoo.org,137-1115
270101014,Gabriel Schmidt,Approved,Credit,arcu@yahoo.org,545-6128
270101015,Lionel Battle,Approved,Credit,quis@aol.edu,327-7658
270101016,Maxwell Hardin,Approved,Credit,lobortis.quam@google.edu,329-2733
