roll_number,name,reg_status,credit_status,email,phone
220101091,Frances Barnes,Approved,Credit,orci@icloud.ca,845-1584
220101123,Kelly Rivas,Approved,Credit,curabitur.sed@google.couk,874-3172
270101001,Charde Sosa,Approved,Credit,eget.massa.suspendisse@aol.couk,744-1772
270101002,Sierra Durham,Approved,Credit,mauris.suspendisse.aliquet@icloud.edu,940-1946
270101003,Benjamin Simpson,Approved,Credit,eget.nisi@yahoo.com,364-3213
270101004,Malik Underwood,Approved,Credit,ac.arcu@icloud.couk,537-6168
270101005,Willa Carter,Approved,Credit,quisque.porttitor@google.couk,542-7429
270101006,Tanya Madden,Approved,Credit,vulputate@google.couk,756-4171
270101007,Susan Rowe,Approved,Credit,venenatis.vel@aol.couk,200-9828
270101008,MacKenzie Meadows,Approved,Credit,odio.aliquam@protonmail.com,446-3821
270101009,Ashely Holder,Approved,Credit,mollis.phasellus@outlook.edu,379-3858
270101010,Caesar Cole,Approved,Credit,amet.ornare.lectus@aol.com,298-9127
270101012,Noelani Burch,Approved,Credit,integer.id@outlook.net,854-3726
270101013,Bo Vinson,Approved,Credit,ut.erat.sed@hotmail.com,717-0463
270101014,Bernard Johnson,Approved,Credit,auctor.odio@icloud.net,932-5188
270101015,Cooper Vaughan,Approved,Credit,ut@aol.org,441-1653
270101016,Samuel Wyatt,Approved,Credit,maecenas@hotmail.com,567-7386
270101017,Phelan Ferguson,Approved,Credit,vitae.odio@hotmail.com,554-1367
270101018,Cain Hendricks,Approved,Credit,ligula@google.ca,880-3204
270101019,Ulric Steele,Approved,Credit,velit.eget@outlook.com,675-4179
270101020,Shafira Barrett,Approved,Credit,ac.mattis@protonmail.com,263-5294
270101021,Amethyst Stevens,Approved,Credit,vivamus.non@protonmail.org,183-5812
270101022,Palmer Sheppard,Approved,Credit,donec.at@outlook.ca,533-1224
270101023,Kareem Rodriquez,Approved,Credit,suspendisse.tristique@outlook.couk,411-9528
270101024,Lee Hickman,Approved,Credit,morbi.non@hotmail.edu,785-9126
270101025,Myles Lopez,Approved,Credit,sapien.cras@aol.edu,581-1086
270101026,Karen Clements,Approved,Credit,molestie.dapibus@yahoo.org,266-5635
270101027,Stacey Garza,Approved,Credit,lobortis.quis.pede@yahoo.couk,836-1816
270101028,Joseph Bolton,Approved,Credit,odio.tristique.pharetra@aol.com,457-2286
270101029,Medge Howard,Approved,Credit,ipsum.suspendisse.sagittis@google.com,826-4838
270101030,Palmer Love,Approved,Credit,quisque.porttitor@google.edu,367-5397
270101031,Mara Stanley,Approved,Credit,tempor.lorem@hotmail.net,233-5954
270101032,Acton Martinez,Approved,Credit,porttitor.interdum@hotmail.net,795-4410
270101033,Oren Benson,Approved,Credit,aliquet@yahoo.com,223-4766
270101034,Channing Clark,Approved,Credit,per.conubia@yahoo.ca,523-9512
270101035,Colette Miles,Approved,Credit,nunc.quis@icloud.edu,247-7482
270101036,Sonia Hendrix,Approved,Credit,libero.proin.sed@aol.org,788-7338
270101037,Cora Holden,Approved,Credit,gravida.sit@outlook.org,740-1831
270101038,Germane Stanley,Approved,Credit,massa.mauris.vestibulum@outlook.org,626-6469
270101039,Marcia Marquez,Approved,Credit,orci.phasellus@hotmail.net,323-0365
270101040,Katell Steele,Approved,Credit,cras.sed@aol.edu,221-8558
270101041,Bert Yang,Approved,Credit,libero.proin.mi@google.couk,884-7744
270101042,Carla Barron,Approved,Credit,nec.urna.suscipit@outlook.edu,826-2846
270101043,Josephine Shelton,Approved,Credit,erat.semper@icloud.couk,376-1198
270101044,Debra Morrison,Approved,Credit,suscipit@yahoo.net,556-4743
